"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"symbol";"entrez"
"ENSG00000188157";15360.7200741706;-0.545398365385106;0.140821917689487;-3.87296504928808;0.000107519251399987;0.00513559230639832;"AGRN";"375790"
"ENSG00000223823";10.9415738134883;2.66004913589793;0.538072044076986;4.9436672378343;7.66665224165603e-07;0.000177820851866003;"LINC01342";"254099"
"ENSG00000186891";136.035129803636;1.88571729200069;0.546418523129764;3.45104935535442;0.000558411441586502;0.017152820140046;"TNFRSF18";"8784"
"ENSG00000107404";5725.48743937939;-0.337409028213867;0.109830294104767;-3.07209437035662;0.00212562512029998;0.0440729044829471;"DVL1";"1855"
"ENSG00000272449";90.1075407934175;0.719363144213376;0.228973523808689;3.14168700488889;0.00167977500139081;0.0371655311342483;NA;NA
"ENSG00000078900";117.380281821214;0.997982284260709;0.32830581317361;3.03979474080458;0.00236739432233599;0.0472943176700831;"TP73";"7161"
"ENSG00000069424";1870.29268789158;1.46247230504743;0.331614790961125;4.41015402482115;1.03297120043427e-05;0.0010060992450066;"KCNAB2";"8514"
"ENSG00000142583";170.895137886675;1.55477736870802;0.440013748186739;3.53347452236466;0.000410135617459541;0.0135551797102686;"SLC2A5";"6518"
"ENSG00000171608";2348.27357752669;1.14988368233796;0.318769467864489;3.60725790346642;0.000309450042153065;0.0110710303316173;"PIK3CD";"5293"
"ENSG00000054523";4186.62818151198;-0.364997530085036;0.103859290192732;-3.51434647211346;0.000440837416256281;0.0142615593918654;"KIF1B";"23095"
"ENSG00000162490";10.8839836263482;1.92405774447165;0.502748617654662;3.82707714532849;0.000129673883371591;0.00587590151324019;"DRAXIN";"374946"
"ENSG00000028137";2279.14584968729;0.797604895996476;0.252220252821886;3.16233485246615;0.0015650948140713;0.0353424752197339;"TNFRSF1B";"7133"
"ENSG00000116771";45.6784554128714;0.914457595220819;0.282511846161655;3.23688230297275;0.00120843240827232;0.0295563776425427;"AGMAT";"79814"
"ENSG00000233431";13.5451410421996;-2.43770145220711;0.664125445809287;-3.67054367151463;0.000242035110657284;0.00934310147190297;NA;NA
"ENSG00000007968";93.5456355440975;1.4951450082791;0.42977502388474;3.47890157684007;0.000503473463837333;0.0157480745505874;"E2F2";"1870"
